source,type,target,weight
162,undirected,1850,1
162,undirected,2518,2
162,undirected,2627,1
162,undirected,3015,1
162,undirected,3458,1
162,undirected,3856,3
162,undirected,4416,1
162,undirected,4472,1
162,undirected,4883,1
162,undirected,4991,2
162,undirected,5124,1
163,undirected,231,1
163,undirected,233,1
163,undirected,250,1
163,undirected,265,1
163,undirected,327,1
163,undirected,338,1
163,undirected,383,1
163,undirected,398,5
163,undirected,456,1
163,undirected,647,1
163,undirected,766,3
163,undirected,777,1
163,undirected,951,1
163,undirected,952,1
163,undirected,954,2
163,undirected,957,2
163,undirected,1017,1
163,undirected,1120,3
163,undirected,1123,1
163,undirected,1124,2
163,undirected,1134,1
163,undirected,1208,1
163,undirected,1305,2
163,undirected,1307,1
163,undirected,1312,3
163,undirected,1316,10
163,undirected,1391,3
163,undirected,1526,1
163,undirected,1544,1
163,undirected,1545,2
163,undirected,1546,1
163,undirected,1570,1
163,undirected,1580,1
163,undirected,1599,1
163,undirected,1669,1
163,undirected,1674,1
163,undirected,1785,1
163,undirected,1816,1
163,undirected,1845,2
163,undirected,1917,1
163,undirected,1938,1
163,undirected,1939,1
163,undirected,1940,2
163,undirected,1947,1
163,undirected,1948,1
163,undirected,1976,2
163,undirected,1979,3
163,undirected,2002,1
163,undirected,2111,1
163,undirected,2119,7
163,undirected,2129,1
163,undirected,2134,2
163,undirected,2262,1
163,undirected,2273,1
163,undirected,2326,1
163,undirected,2437,2
163,undirected,2502,2
163,undirected,2570,1
163,undirected,2597,1
163,undirected,2599,1
163,undirected,2643,1
163,undirected,2757,3
163,undirected,2761,2
163,undirected,2762,1
163,undirected,2799,1
163,undirected,2842,2
163,undirected,2890,2
163,undirected,2954,2
163,undirected,2966,1
163,undirected,3041,3
163,undirected,3127,4
163,undirected,3136,1
163,undirected,3177,5
163,undirected,3290,2
163,undirected,3312,1
163,undirected,3342,1
163,undirected,3412,3
163,undirected,3426,3
163,undirected,3496,4
163,undirected,3539,2
163,undirected,3570,1
163,undirected,3612,3
163,undirected,3683,1
163,undirected,3706,1
163,undirected,3776,2
163,undirected,3777,1
163,undirected,3870,1
163,undirected,3874,2
163,undirected,3902,1
163,undirected,3974,2
163,undirected,3978,1
163,undirected,4145,5
163,undirected,4231,1
163,undirected,4233,1
163,undirected,4266,1
163,undirected,4357,2
163,undirected,4395,3
163,undirected,4627,3
163,undirected,4634,1
163,undirected,4704,1
163,undirected,4776,1
163,undirected,4780,1
163,undirected,4799,1
163,undirected,4837,2
163,undirected,4925,1
163,undirected,4931,21
163,undirected,5015,1
163,undirected,5034,4
163,undirected,5084,2
